"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2019-09-01 00:00","2019","09","01","00:00","11.6","","10.7","","94","","36","","3","","4.8","","89.43","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2019-09-01 01:00","2019","09","01","01:00","11.8","","11.0","","94","","12","","7","","4.8","","89.42","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2019-09-01 02:00","2019","09","01","02:00","11.7","","11.0","","96","","17","","9","","2.4","","89.43","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2019-09-01 03:00","2019","09","01","03:00","11.7","","11.2","","97","","13","","7","","0.4","","89.41","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2019-09-01 04:00","2019","09","01","04:00","11.7","","11.2","","97","","10","","7","","0.4","","89.38","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2019-09-01 05:00","2019","09","01","05:00","11.4","","11.0","","97","","9","","10","","0.4","","89.36","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2019-09-01 06:00","2019","09","01","06:00","11.3","","11.0","","98","","11","","13","","0.4","","89.37","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2019-09-01 07:00","2019","09","01","07:00","11.3","","11.0","","98","","10","","11","","0.0","","89.36","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2019-09-01 08:00","2019","09","01","08:00","11.6","","11.2","","98","","12","","14","","0.0","","89.36","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2019-09-01 09:00","2019","09","01","09:00","11.3","","11.0","","98","","14","","17","","0.2","","89.36","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2019-09-01 10:00","2019","09","01","10:00","11.6","","11.2","","98","","14","","20","","0.4","","89.33","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2019-09-01 11:00","2019","09","01","11:00","12.2","","11.9","","98","","14","","20","","4.8","","89.28","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2019-09-01 12:00","2019","09","01","12:00","12.7","","12.2","","96","","15","","16","","6.4","","89.24","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2019-09-01 13:00","2019","09","01","13:00","13.5","","12.2","","92","","17","","19","","9.7","","89.21","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2019-09-01 14:00","2019","09","01","14:00","14.7","","12.0","","83","","14","","22","","11.3","","89.18","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2019-09-01 15:00","2019","09","01","15:00","15.0","","11.9","","82","","15","","15","","11.3","","89.14","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2019-09-01 16:00","2019","09","01","16:00","15.6","","12.2","","80","","15","","18","","11.3","","89.06","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2019-09-01 17:00","2019","09","01","17:00","16.1","","12.1","","77","","15","","15","","11.3","","89.00","","","","","","Cloudy"
