"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-08-01 00:00","2019","08","01","00:00","13.4","","8.7","","73","","1","","3","","","","89.07","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-08-01 01:00","2019","08","01","01:00","12.7","","9.0","","78","","31","","7","","","","89.09","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-08-01 02:00","2019","08","01","02:00","13.6","","10.5","","82","","33","","17","","","","89.12","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-08-01 03:00","2019","08","01","03:00","13.4","","11.8","","90","","34","","18","","","","89.16","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-08-01 04:00","2019","08","01","04:00","13.7","","12.2","","91","","33","","26","","","","89.17","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-08-01 05:00","2019","08","01","05:00","14.1","","12.3","","89","","35","","29","","","","89.22","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-08-01 06:00","2019","08","01","06:00","13.9","","11.8","","87","","35","","24","","","","89.27","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-08-01 07:00","2019","08","01","07:00","14.1","","11.9","","87","","35","","17","","","","89.31","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-08-01 08:00","2019","08","01","08:00","14.9","","12.3","","84","","35","","16","","","","89.32","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-08-01 09:00","2019","08","01","09:00","16.0","","11.8","","76","","35","","13","","","","89.32","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-08-01 10:00","2019","08","01","10:00","16.6","","11.7","","73","","4","","8","","","","89.32","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-08-01 11:00","2019","08","01","11:00","17.8","","11.5","","66","","1","","8","","","","89.30","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-08-01 12:00","2019","08","01","12:00","19.5","","11.1","","58","","4","","7","","","","89.27","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-08-01 13:00","2019","08","01","13:00","21.8","","11.6","","52","","4","","5","","","","89.24","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-08-01 14:00","2019","08","01","14:00","22.7","","12.0","","51","","8","","12","","","","89.19","","25","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-08-01 15:00","2019","08","01","15:00","24.0","","11.6","","46","","11","","10","","","","89.14","","26","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-08-01 16:00","2019","08","01","16:00","25.3","","11.3","","41","","8","","13","","","","89.09","","27","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-08-01 17:00","2019","08","01","17:00","25.5","","10.5","","39","","9","","9","","","","89.05","","27","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-08-01 18:00","2019","08","01","18:00","25.1","","11.0","","41","","9","","14","","","","89.02","","27","","","","NA"
