"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2019-07-01 00:00","2019","07","01","00:00","13.3","","7.3","","67","","19","","12","","24.1","","89.23","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2019-07-01 01:00","2019","07","01","01:00","12.1","","6.8","","70","","18","","13","","24.1","","89.19","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2019-07-01 02:00","2019","07","01","02:00","13.7","","6.8","","63","","20","","9","","24.1","","89.14","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2019-07-01 03:00","2019","07","01","03:00","13.1","","7.5","","69","","22","","14","","24.1","","89.08","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2019-07-01 04:00","2019","07","01","04:00","12.3","","6.0","","65","","23","","14","","32.2","","89.02","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2019-07-01 05:00","2019","07","01","05:00","9.6","","5.8","","77","","20","","7","","64.4","","88.99","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2019-07-01 06:00","2019","07","01","06:00","12.2","","5.4","","63","","21","","6","","64.4","","88.93","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2019-07-01 07:00","2019","07","01","07:00","14.4","","4.9","","52","","22","","7","","64.4","","88.89","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2019-07-01 08:00","2019","07","01","08:00","17.4","","5.1","","44","","23","","14","","64.4","","88.84","","","","","","Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2019-07-01 09:00","2019","07","01","09:00","20.4","","3.3","","32","","28","","21","","64.4","","88.82","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2019-07-01 10:00","2019","07","01","10:00","21.6","","0.8","","25","","27","","26","","64.4","","88.77","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2019-07-01 11:00","2019","07","01","11:00","21.8","","2.8","","28","","31","","16","","64.4","","88.71","","","","","","Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2019-07-01 12:00","2019","07","01","12:00","22.7","","3.0","","27","","31","","10","","64.4","","88.64","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2019-07-01 13:00","2019","07","01","13:00","24.1","","1.5","","22","","29","","23","","64.4","","88.58","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2019-07-01 14:00","2019","07","01","14:00","24.2","","0.9","","21","","31","","8","","64.4","","88.56","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2019-07-01 15:00","2019","07","01","15:00","16.6","","10.3","","66","","36","","54","","24.1","","88.75","","","","","","Rain Showers"
"-114.01","51.12","CALGARY INTL A","3031092","2019-07-01 16:00","2019","07","01","16:00","9.0","","6.8","","86","","36","","52","","16.1","","88.99","","","","","","Rain Showers"
"-114.01","51.12","CALGARY INTL A","3031092","2019-07-01 17:00","2019","07","01","17:00","11.1","","5.7","","69","","36","","47","","24.1","","89.10","","","","","","Mostly Cloudy"
