"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 00:00","2019","09","01","00:00","11.3","","10.2","","93","","6","","6","","","","89.56","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 01:00","2019","09","01","01:00","11.5","","10.4","","93","","12","","7","","","","89.53","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 02:00","2019","09","01","02:00","11.4","","10.5","","94","","15","","3","","","","89.55","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 03:00","2019","09","01","03:00","11.4","","10.6","","95","","14","","7","","","","89.53","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 04:00","2019","09","01","04:00","11.3","","10.5","","95","","10","","6","","","","89.51","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 05:00","2019","09","01","05:00","11.1","","10.4","","96","","10","","7","","","","89.48","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 06:00","2019","09","01","06:00","11.1","","10.4","","96","","11","","10","","","","89.50","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 07:00","2019","09","01","07:00","11.0","","10.4","","96","","10","","12","","","","89.48","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 08:00","2019","09","01","08:00","11.4","","10.8","","96","","12","","15","","","","89.49","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 09:00","2019","09","01","09:00","11.2","","10.6","","96","","14","","15","","","","89.48","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 10:00","2019","09","01","10:00","11.5","","10.9","","96","","13","","14","","","","89.45","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 11:00","2019","09","01","11:00","12.3","","11.7","","96","","14","","16","","","","89.41","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 12:00","2019","09","01","12:00","12.8","","12.0","","95","","15","","17","","","","89.36","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 13:00","2019","09","01","13:00","13.6","","11.5","","87","","17","","17","","","","89.34","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 14:00","2019","09","01","14:00","14.2","","11.2","","82","","15","","19","","","","89.30","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 15:00","2019","09","01","15:00","14.9","","11.5","","80","","14","","15","","","","89.26","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 16:00","2019","09","01","16:00","15.5","","11.6","","78","","14","","17","","","","89.17","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 17:00","2019","09","01","17:00","16.0","","11.9","","76","","15","","11","","","","89.12","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 18:00","2019","09","01","18:00","16.4","","12.0","","75","","13","","8","","","","89.08","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 19:00","2019","09","01","19:00","14.9","","11.4","","80","","11","","7","","","","89.01","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-09-01 20:00","2019","09","01","20:00","15.1","","12.1","","83","","2","","11","","","","89.06","","","","","","NA"
