"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 00:00","2019","08","01","00:00","15.5","","9.9","","69","","27","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 01:00","2019","08","01","01:00","13.3","","10.0","","81","","34","","12","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 02:00","2019","08","01","02:00","13.1","","11.1","","88","","33","","14","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 03:00","2019","08","01","03:00","13.1","","12.1","","93","","33","","15","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 04:00","2019","08","01","04:00","13.2","","12.3","","94","","33","","15","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 05:00","2019","08","01","05:00","13.2","","12.3","","94","","33","","16","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 06:00","2019","08","01","06:00","13.7","","12.1","","90","","34","","13","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 07:00","2019","08","01","07:00","14.0","","12.1","","88","","36","","13","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 08:00","2019","08","01","08:00","14.7","","12.0","","84","","35","","10","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 09:00","2019","08","01","09:00","15.8","","12.3","","80","","36","","7","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 10:00","2019","08","01","10:00","18.4","","13.1","","71","","3","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 11:00","2019","08","01","11:00","19.5","","12.9","","65","","5","","5","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 12:00","2019","08","01","12:00","21.1","","13.3","","61","","7","","7","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 13:00","2019","08","01","13:00","22.2","","13.2","","57","","8","","7","","","","","","25","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 14:00","2019","08","01","14:00","23.4","","13.0","","52","","9","","11","","","","","","26","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 15:00","2019","08","01","15:00","24.7","","12.3","","46","","9","","9","","","","","","27","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 16:00","2019","08","01","16:00","25.0","","12.4","","45","","8","","10","","","","","","27","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 17:00","2019","08","01","17:00","25.0","","12.0","","44","","7","","9","","","","","","27","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 18:00","2019","08","01","18:00","25.2","","12.0","","44","","9","","8","","","","","","27","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 19:00","2019","08","01","19:00","23.7","","12.5","","49","","9","","10","","","","","","26","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 20:00","2019","08","01","20:00","21.4","","13.8","","62","","10","","8","","","","","","25","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 21:00","2019","08","01","21:00","19.6","","14.0","","71","","10","","8","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 22:00","2019","08","01","22:00","18.5","","14.2","","76","","11","","5","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-01 23:00","2019","08","01","23:00","16.8","","13.4","","80","","16","","2","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-02 00:00","2019","08","02","00:00","15.3","","12.5","","84","","21","","6","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-02 01:00","2019","08","02","01:00","15.6","","13.2","","86","","34","","2","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-02 02:00","2019","08","02","02:00","14.0","","11.6","","86","","28","","3","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-02 03:00","2019","08","02","03:00","13.8","","11.1","","84","","7","","2","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-02 04:00","2019","08","02","04:00","12.9","","11.2","","89","","29","","6","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-02 05:00","2019","08","02","05:00","12.8","","6.5","","65","","22","","5","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-02 06:00","2019","08","02","06:00","13.6","","7.9","","68","","27","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-02 07:00","2019","08","02","07:00","15.5","","8.9","","65","","31","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-02 08:00","2019","08","02","08:00","18.6","","10.9","","61","","35","","2","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-08-02 09:00","2019","08","02","09:00","21.5","","13.4","","60","","34","","4","","","","","","25","","","","NA"
