"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 00:00","2019","07","01","00:00","12.9","","6.7","","66","","19","","12","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 01:00","2019","07","01","01:00","11.4","","6.9","","74","","20","","18","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 02:00","2019","07","01","02:00","9.7","","6.5","","80","","20","","11","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 03:00","2019","07","01","03:00","9.1","","5.0","","76","","23","","5","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 04:00","2019","07","01","04:00","8.7","","4.7","","76","","36","","2","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 05:00","2019","07","01","05:00","7.9","","3.8","","75","","30","","5","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 06:00","2019","07","01","06:00","11.4","","3.8","","59","","29","","8","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 07:00","2019","07","01","07:00","13.0","","5.4","","60","","27","","10","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 08:00","2019","07","01","08:00","16.8","","7.6","","55","","29","","7","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 09:00","2019","07","01","09:00","19.1","","9.1","","52","","32","","7","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 10:00","2019","07","01","10:00","20.3","","6.7","","41","","34","","9","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 11:00","2019","07","01","11:00","21.6","","6.1","","36","","27","","11","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 12:00","2019","07","01","12:00","22.2","","3.4","","29","","29","","13","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 13:00","2019","07","01","13:00","23.0","","2.8","","27","","31","","15","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 14:00","2019","07","01","14:00","23.9","","3.5","","26","","29","","16","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 15:00","2019","07","01","15:00","15.0","","9.7","","70","","2","","35","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 16:00","2019","07","01","16:00","8.7","","6.0","","83","","2","","42","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 17:00","2019","07","01","17:00","8.5","","4.8","","78","","35","","24","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 18:00","2019","07","01","18:00","9.2","","5.0","","75","","36","","17","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 19:00","2019","07","01","19:00","8.8","","4.6","","75","","35","","17","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 20:00","2019","07","01","20:00","8.8","","4.9","","76","","33","","13","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 21:00","2019","07","01","21:00","8.6","","5.0","","78","","34","","8","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 22:00","2019","07","01","22:00","8.5","","4.8","","78","","36","","7","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-01 23:00","2019","07","01","23:00","8.3","","4.8","","78","","35","","8","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 00:00","2019","07","02","00:00","7.9","","5.0","","82","","33","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 01:00","2019","07","02","01:00","7.0","","5.9","","93","","33","","3","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 02:00","2019","07","02","02:00","6.5","","5.8","","95","","32","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 03:00","2019","07","02","03:00","6.5","","5.9","","96","","31","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 04:00","2019","07","02","04:00","6.0","","5.5","","96","","34","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 05:00","2019","07","02","05:00","5.9","","5.2","","95","","33","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 06:00","2019","07","02","06:00","6.4","","5.9","","96","","22","","6","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 07:00","2019","07","02","07:00","6.4","","5.1","","91","","33","","5","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 08:00","2019","07","02","08:00","7.0","","5.6","","91","","30","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 09:00","2019","07","02","09:00","7.9","","6.2","","89","","29","","5","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 10:00","2019","07","02","10:00","9.2","","6.8","","85","","26","","6","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 11:00","2019","07","02","11:00","10.5","","7.0","","79","","28","","7","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 12:00","2019","07","02","12:00","12.1","","5.9","","66","","31","","10","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 13:00","2019","07","02","13:00","14.1","","6.6","","61","","29","","7","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 14:00","2019","07","02","14:00","14.8","","5.4","","53","","36","","5","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 15:00","2019","07","02","15:00","15.5","","4.6","","48","","31","","5","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 16:00","2019","07","02","16:00","16.1","","5.5","","49","","36","","6","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 17:00","2019","07","02","17:00","15.2","","3.8","","46","","32","","7","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 18:00","2019","07","02","18:00","15.3","","5.2","","51","","32","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 19:00","2019","07","02","19:00","14.9","","3.4","","46","","36","","8","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 20:00","2019","07","02","20:00","14.2","","3.8","","50","","3","","7","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 21:00","2019","07","02","21:00","13.6","","4.0","","52","","6","","2","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 22:00","2019","07","02","22:00","11.6","","5.1","","65","","21","","2","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-02 23:00","2019","07","02","23:00","9.4","","5.4","","76","","21","","8","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-03 00:00","2019","07","03","00:00","9.0","","4.6","","74","","21","","8","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-03 01:00","2019","07","03","01:00","8.3","","4.9","","79","","20","","7","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-03 02:00","2019","07","03","02:00","8.0","","5.0","","81","","28","","3","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-03 03:00","2019","07","03","03:00","7.7","","5.2","","84","","30","","10","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-03 04:00","2019","07","03","04:00","7.4","","4.1","","79","","32","","8","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-03 05:00","2019","07","03","05:00","7.1","","4.2","","82","","34","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-03 06:00","2019","07","03","06:00","8.5","","5.0","","79","","34","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-03 07:00","2019","07","03","07:00","10.3","","6.4","","77","","34","","3","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-03 08:00","2019","07","03","08:00","12.4","","6.7","","68","","2","","5","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-03 09:00","2019","07","03","09:00","13.4","","6.1","","61","","7","","6","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-03 10:00","2019","07","03","10:00","15.2","","6.5","","56","","8","","6","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-03 11:00","2019","07","03","11:00","16.6","","8.0","","57","","5","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-07-03 12:00","2019","07","03","12:00","17.5","","7.7","","53","","8","","9","","","","","","","","","","NA"
